"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
8,892,710,839,44756,9,209,59,20,44,2263.03,0.2105,880,179,5562,0.8565,54,0,51.4325,24.4368148148148,3298.97,135,0.818181818181818
8,892,710,839,45616,9,213,69,22,41,2376,0.1925,902,179,6458.06,0.8404,57,0,57.9512195121951,29.5801449275362,4082.06,138,0.802325581395349
8,892,880,148,45700,6,20,96,37.8,1,96,0.05,37.8,10,473,0.5,5,0,96,41.8888888888889,377,9,0.473684210526316
8,892,880,148,45720,6,24,88,34.2,5,411,0.2083,171,18,880,0.75,2,0,82.2,36.0769230769231,469,13,0.684210526315789
8,892,880,148,45760,4,24,112,44.1,5,524,0.2083,220.5,22,1327,0.9167,4,0,104.8,47.2352941176471,803,17,0.894736842105263
8,892,880,148,45770,4,28,96,37.8,5,416,0.1786,189,26,1078,0.9286,9,0,83.2,31.5238095238095,662,21,0.91304347826087
8,892,880,148,45790,4,27,90,35.1,6,468,0.2222,210.6,23,1069,0.8519,8,0,78,35.3529411764706,601,17,0.80952380952381
8,892,880,148,45810,6,24,64,25.2,8,457,0.3333,201.6,20,864,0.8333,2,0,57.125,33.9166666666667,407,12,0.75
8,892,880,148,45820,6,20,142,55.8,6,806,0.3,334.8,17,1475,0.85,9,0,134.333333333333,60.8181818181818,669,11,0.785714285714286
8,892,880,148,45860,6,20,126,49.5,7,841,0.35,346.5,14,1120,0.7,9,0,120.142857142857,39.8571428571429,279,7,0.538461538461538
8,892,880,148,45901,4,24,56,21.6,5,205,0.2083,108,21,587,0.875,7,0,41,23.875,382,16,0.842105263157895
8,892,880,148,45951,4,12,65,25.2,3,169,0.25,75.6,9,320,0.75,6,0,56.3333333333333,25.1666666666667,151,6,0.666666666666667
8,892,880,148,46180,10,18,90,35.1,9,779,0.5,315.9,14,1009,0.7778,5,0,86.5555555555556,46,230,5,0.555555555555556
8,892,880,148,46200,10,26,106,41.4,18,1762,0.6923,745.2,21,1866,0.8077,10,0,97.8888888888889,34.6666666666667,104,3,0.375
8,892,880,148,46210,10,34,92,36,20,1745,0.5882,720,30,2188,0.8824,11,0,87.25,44.3,443,10,0.714285714285714
8,892,880,148,46220,10,30,60,23.4,12,651,0.4,280.8,26,1030,0.8667,4,0,54.25,27.0714285714286,379,14,0.777777777777778
8,892,880,148,46250,11,30,96,37.8,8,724,0.2667,302.4,24,1513.01,0.8,13,0,90.5,49.313125,789.01,16,0.727272727272727
8,892,880,148,46251,10,26,96,37.8,11,955,0.4231,415.8,21,1420,0.8077,10,0,86.8181818181818,46.5,465,10,0.666666666666667
8,892,880,148,46252,10,22,96,37.8,12,1119,0.5455,453.6,19,1467,0.8636,2,0,93.25,49.7142857142857,348,7,0.7
8,892,880,148,46261,10,26,102,39.6,13,1198,0.5,514.8,19,1504,0.7308,9,0,92.1538461538462,51,306,6,0.461538461538462
8,892,880,148,46262,10,22,102,39.6,8,759,0.3636,316.8,18,1187,0.8182,4,0,94.875,42.8,428,10,0.714285714285714
8,892,880,148,46380,6,24,90,35.1,5,450,0.2083,175.5,18,985,0.75,4,0,90,41.1538461538462,535,13,0.684210526315789
8,892,880,267,11887,2,28,108,46.8,3,324,0.1071,140.4,18,1115,0.6429,16,0,108,52.7333333333333,791,15,0.6
8,892,880,267,12429,5,36,140,61.2,12,1519,0.3333,734.4,32,2815,0.8889,10,0,126.583333333333,64.8,1296,20,0.833333333333333
8,892,880,267,12430,6,46,140,61.2,14,1807,0.3043,856.8,42,3609,0.913,14,0,129.071428571429,64.3571428571429,1802,28,0.875
8,892,880,267,12431,9,62,160,70.2,11,1615,0.1774,772.2,54,3970.01,0.871,17,0,146.818181818182,54.7676744186047,2355.01,43,0.843137254901961
8,892,880,267,12432,9,62,160,70.2,8,1112,0.129,561.6,46,3061.99,0.7419,10,0,139,51.3155263157895,1949.99,38,0.703703703703704
8,892,880,267,21843,6,52,150,65.7,9,1269,0.1731,591.3,44,3210.99,0.8462,8,0,141,55.4854285714286,1941.99,35,0.813953488372093
8,892,880,267,21844,6,43,150,65.7,11,1524,0.2558,722.7,39,2925.01,0.907,17,0,138.545454545455,50.0360714285714,1401.01,28,0.875
8,892,880,267,21845,6,30,136,59.4,15,1823,0.5,891,29,2804,0.9667,10,0,121.533333333333,70.0714285714286,981,14,0.933333333333333
8,892,880,267,21846,6,28,136,59.4,12,1481,0.4286,712.8,24,2247,0.8571,11,0,123.416666666667,63.8333333333333,766,12,0.75
8,892,880,267,21848,10,8,136,59.4,1,136,0.125,59.4,5,363,0.625,5,0,136,56.75,227,4,0.571428571428571
8,892,880,267,22407,9,14,128,55.8,4,487,0.2857,223.2,9,598,0.6429,2,0,121.75,22.2,111,5,0.5
8,892,880,388,14840,11,32,135,59.4,5,675,0.1563,297,26,1794.01,0.8125,7,0,135,53.2861904761905,1119.01,21,0.777777777777778
8,892,880,388,15350,8,48,236,105.3,11,2309,0.2292,1158.3,35,4184,0.7292,16,0,209.909090909091,78.125,1875,24,0.648648648648649
8,892,880,388,15360,8,48,498,220.5,32,13985,0.6667,7056,46,16174.01,0.9583,20,0,437.03125,156.357857142857,2189.01,14,0.875
8,892,880,388,15830,7,40,205,91.8,8,1286,0.2,734.4,34,3882,0.85,3,0,160.75,99.8461538461538,2596,26,0.8125
8,892,880,388,15950,4,32,185,82.8,9,1460,0.2813,745.2,29,2823.99,0.9063,9,0,162.222222222222,68.1995,1363.99,20,0.869565217391304
8,892,880,388,15970,4,24,390,172.8,8,2774,0.3333,1382.4,23,4842,0.9583,8,0,346.75,137.866666666667,2068,15,0.9375
8,892,880,388,16090,8,18,425,190.8,6,2243,0.3333,1144.8,15,3496,0.8333,6,0,373.833333333333,139.222222222222,1253,9,0.75
8,892,880,388,16100,9,40,335,150.3,8,2315,0.2,1202.4,27,4710.01,0.675,10,0,289.375,126.053157894737,2395.01,19,0.59375
8,892,880,388,16190,4,40,215,96.3,6,991,0.15,577.8,28,2958,0.7,17,0,165.166666666667,89.4090909090909,1967,22,0.647058823529412
